,class
813,24
814,24
815,24
816,24
817,25
818,25
819,25
820,25
821,26
822,26
823,26
824,26
825,26
826,26
827,26
828,26
829,26
830,26
831,26
832,26
833,26
834,26
835,26
836,26
837,26
838,26
839,26
840,26
841,26
842,26
843,26
844,26
845,26
846,26
847,26
848,26
849,26
850,26
851,26
852,26
853,26
854,27
855,27
856,27
857,27
858,27
859,27
860,27
861,27
862,27
863,27
864,27
865,27
866,27
867,27
868,27
869,27
870,27
871,27
872,27
873,27
874,27
875,27
876,27
877,27
878,27
879,27
880,27
881,27
882,27
883,27
884,27
885,27
886,27
887,27
888,27
889,27
890,27
891,27
892,27
893,27
894,27
895,27
896,27
897,27
898,27
899,27
900,27
901,27
902,27
903,27
904,27
905,27
906,27
907,27
908,27
909,27
910,27
911,27
912,27
913,28
914,28
915,28
916,28
917,28
918,28
919,28
920,28
921,28
922,28
923,28
924,28
925,28
926,28
927,28
928,28
929,28
930,28
931,28
932,28
933,28
934,28
935,28
936,28
937,28
938,28
939,28
940,28
941,28
942,28
943,28
944,28
945,28
946,28
947,28
948,28
949,28
950,28
951,28
952,28
953,28
954,28
955,28
956,28
957,28
958,28
959,28
960,28
961,28
962,28
963,28
964,28
965,28
966,28
967,28
968,28
969,28
970,28
971,28
972,28
973,28
974,28
975,28
976,28
977,28
978,28
979,28
980,28
981,28
982,29
983,29
984,29
985,29
986,29
987,29
988,29
989,29
990,29
991,29
992,29
993,29
994,29
995,29
996,29
997,29
998,29
999,29
1000,29
1001,29
1002,29
1003,29
1004,29
1005,29
1006,29
1007,29
1008,29
1009,29
1010,29
1011,29
1012,29
1013,29
1014,29
1015,29
1016,29
1017,29
1018,29
1019,29
1020,29
1021,29
1022,29
1023,29
1024,30
1025,30
1026,30
1027,30
1028,30
1029,30
1030,30
1031,30
1032,30
1033,30
1034,30
1035,30
1036,30
1037,30
1038,30
1039,30
1040,30
1041,30
1042,30
1043,30
1044,30
1045,30
1046,30
1047,30
1048,30
1049,30
1050,31
1051,31
1052,31
1053,31
1054,31
1055,31
1056,31
1057,31
1058,31
1059,31
1060,31
1061,31
1062,31
1063,31
1064,31
1065,31
1066,31
1067,31
1068,31
1069,31
1070,31
1071,31
1072,31
1073,31
1074,31
1075,31
1076,31
1077,31
1078,31
1079,31
1080,31
1081,31
1082,31
1083,31
1084,31
1085,31
1086,31
1087,31
1088,31
1089,31
1090,31
1091,31
1092,31
1093,31
1094,31
1095,31
1096,31
1097,31
1098,31
1099,31
1100,31
1101,31
1102,31
1103,31
1104,31
1105,31
1106,31
1107,31
1108,31
1109,31
1110,31
1111,31
1112,31
1113,31
1114,31
1115,31
1116,31
1117,31
1118,31
1119,31
1120,31
1121,31
1122,31
1123,31
1124,31
1125,32
1126,32
1127,32
1128,32
1129,32
1130,32
1131,32
1132,32
1133,32
1134,32
1135,32
1136,32
1137,32
1138,33
1139,33
1140,33
1141,33
1142,33
1143,33
1144,33
1145,33
1146,33
1147,33
1148,33
1149,33
1150,33
1151,34
1152,34
1153,34
1154,34
1155,34
1156,34
1157,34
1158,34
1159,34
1160,34
1161,34
1162,34
1163,34
1164,34
1165,34
1166,34
1167,34
1168,34
1169,34
1170,34
1171,34
1172,34
1173,34
1174,34
1175,34
1176,34
1177,34
1178,34
1179,34
1180,34
1181,34
1182,34
1183,34
1184,34
1185,34
1186,34
1187,34
1188,35
1189,35
1190,35
1191,35
1192,35
1193,35
1194,35
1195,35
1196,35
1197,35
1198,35
1199,35
1200,35
1201,35
1202,35
1203,35
1204,35
1205,35
1206,35
1207,35
1208,35
1209,35
1210,35
1211,35
1212,35
1213,35
1214,35
1215,35
1216,35
1217,35
1218,35
1219,35
1220,35
1221,35
1222,35
1223,35
1224,35
1225,35
1226,35
1227,35
1228,35
1229,35
1230,35
1231,35
1232,35
1233,35
1234,35
1235,35
1236,35
1237,35
1238,35
1239,35
1240,35
1241,35
1242,35
1243,35
1244,35
1245,35
1246,35
1247,35
1248,35
1249,35
1250,35
1251,35
1252,35
1253,35
1254,35
1255,35
1256,36
1257,36
1258,36
1259,36
1260,36
1261,36
1262,36
1263,36
1264,36
1265,36
1266,36
1267,36
1268,36
1269,36
1270,36
1271,36
1272,36
1273,36
1274,36
1275,36
1276,36
1277,36
1278,36
1279,36
1280,36
1281,36
1282,36
1283,36
1284,36
1285,36
1286,37
1287,37
1288,37
1289,37
1290,37
1291,37
1292,37
1293,37
1294,37
1295,37
1296,38
1297,38
1298,38
1299,38
1300,38
1301,38
1302,38
1303,38
1304,38
1305,38
1306,38
1307,38
1308,38
1309,38
1310,38
1311,38
1312,38
1313,39
1314,39
1315,39
1316,39
1317,39
1318,39
1319,39
1320,39
1321,39
1322,39
1323,39
1324,39
1325,39
1326,39
1327,39
1328,39
1329,39
1330,39
1331,39
1332,39
1333,39
1334,39
1335,39
1336,39
1337,39
1338,39
1339,39
1340,39
1341,39
1342,39
1343,39
1344,39
1345,39
1346,39
1347,39
1348,39
1349,39
1350,39
1351,39
1352,39
1353,39
1354,39
1355,39
1356,39
1357,39
1358,39
1359,39
1360,39
1361,39
1362,39
1363,39
1364,39
1365,39
1366,39
1367,39
1368,39
1369,39
1370,39
1371,39
1372,39
1373,39
1374,39
1375,39
1376,39
1377,39
1378,39
1379,39
1380,39
1381,39
1382,39
1383,39
1384,39
1385,39
1386,39
1387,39
1388,39
1389,39
1390,39
1391,39
1392,39
1393,39
1394,39
1395,39
1396,39
1397,39
1398,39
1399,39
1400,39
1401,39
1402,39
1403,39
1404,39
1405,39
1406,39
1407,39
1408,39
1409,39
1410,39
1411,39
1412,39
1413,39
1414,39
1415,39
1416,39
1417,39
1418,39
1419,39
1420,40
1421,40
1422,40
1423,40
1424,40
1425,40
1426,40
1427,40
1428,40
1429,40
1430,40
1431,40
1432,40
1433,40
1434,40
1435,40
1436,40
1437,40
1438,40
1439,40
1440,40
1441,40
1442,40
1443,40
1444,40
1445,40
1446,40
1447,40
1448,40
1449,40
1450,40
1451,40
1452,40
1453,40
1454,40
1455,40
1456,40
1457,40
1458,40
1459,40
1460,40
1461,40
1462,41
1463,41
1464,42
1465,42
1466,42
1467,42
1468,42
1469,42
1470,42
1471,42
1472,42
1473,42
1474,42
1475,42
1476,42
1477,42
1478,42
1479,42
1480,42
1481,42
1482,42
1483,42
1484,42
1485,42
1486,42
1487,42
1488,42
1489,42
1490,42
1491,42
1492,42
1493,42
1494,42
1495,42
1496,42
1497,42
1498,42
1499,42
1500,42
1501,42
1502,42
1503,42
1504,42
1505,42
1506,42
1507,42
1508,42
1509,42
1510,42
1511,42
1512,42
1513,42
1514,42
1515,42
1516,42
1517,42
1518,42
1519,42
1520,42
1521,42
1522,42
1523,42
1524,42
1525,42
1526,42
1527,42
1528,42
1529,42
1530,42
1531,42
1532,43
1533,43
1534,43
1535,43
1536,43
1537,43
1538,43
1539,43
1540,43
1541,44
1542,44
1543,44
1544,44
1545,44
1546,44
1547,44
1548,44
1549,44
1550,44
1551,44
1552,44
1553,44
1554,44
1555,44
1556,44
1557,44
1558,44
1559,44
1560,44
1561,44
1562,44
1563,44
1564,44
1565,44
1566,44
1567,44
1568,44
1569,44
1570,44
1571,44
1572,44
1573,44
1574,44
1575,44
1576,44
1577,44
1578,45
1579,45
1580,45
1581,45
1582,45
1583,45
1584,45
1585,45
1586,45
1587,45
1588,45
1589,45
1590,45
1591,45
1592,45
1593,45
1594,45
1595,45
1596,45
1597,45
1598,45
1599,45
1600,45
1601,45
1602,45
1603,45
1604,45
1605,45
1606,45
1607,45
1608,45
1609,45
1610,45
1611,45
1612,45
1613,45
1614,45
1615,45
1616,45
1617,45
1618,45
1619,45
1620,45
1621,45
1622,45
1623,45
1624,45
1625,45
1626,45
1627,45
1628,45
1629,45
1630,45
1631,45
1632,45
1633,45
1634,45
1635,45
1636,45
1637,45
1638,45
1639,45
1640,45
1641,46
1642,46
1643,46
1644,46
1645,46
1646,47
1647,47
1648,47
1649,47
1650,47
1651,47
1652,47
1653,47
1654,47
1655,47
1656,47
1657,47
1658,47
1659,47
1660,47
1661,47
1662,47
1663,47
1664,47
1665,47
1666,47
1667,47
1668,47
1669,47
1670,47
1671,47
1672,48
1673,48
1674,49
1675,49
1676,49
1677,49
1678,49
1679,49
1680,49
1681,50
1682,50
1683,50
1684,50
1685,50
1686,50
1687,50
1688,50
1689,50
1690,50
1691,50
1692,50
1693,50
1694,50
1695,50
1696,50
1697,50
1698,50
1699,50
1700,50
1701,50
1702,50
1703,50
1704,50
1705,50
1706,50
1707,50
1708,50
1709,50
1710,50
1711,50
1712,50
1713,50
1714,50
1715,50
1716,50
1717,50
1718,50
1719,50
1720,50
1721,50
1722,50
1723,50
1724,50
1725,50
1726,51
1727,51
1728,51
1729,51
1730,51
1731,51
1732,51
1733,51
1734,51
1735,51
1736,51
1737,51
1738,51
1739,51
1740,51
1741,51
1742,51
1743,51
1744,51
1745,52
1746,52
1747,52
1748,52
1749,52
1750,52
1751,52
1752,52
1753,52
1754,52
1755,52
1756,52
1757,52
1758,52
1759,52
1760,52
1761,52
1762,52
1763,52
1764,52
1765,52
1766,52
1767,52
1768,52
1769,52
1770,52
1771,52
1772,52
1773,52
1774,52
1775,52
1776,52
1777,52
1778,52
1779,52
1780,52
1781,52
1782,52
1783,52
1784,52
1785,52
1786,52
1787,52
1788,52
1789,52
1790,52
1791,52
1792,52
1793,52
1794,52
1795,52
1796,52
1797,52
1798,52
1799,52
1800,52
1801,52
1802,52
1803,52
1804,52
1805,52
1806,52
1807,52
1808,52
1809,52
1810,52
1811,52
1812,52
1813,52
1814,52
1815,52
1816,52
1817,52
1818,52
1819,52
1820,52
1821,52
1822,52
1823,52
1824,52
